CCE,Rule ID,Title,Discussion,Mechanism,Check,Check Result,Fix,800-53r5,800-171,SRG,SFR,DISA STIG,CIS Benchmark,CIS v8,CMMC,indigo,CCI,Severity,Modified Rule
CCE-93248-3,os_show_calendar_lock_screen_disable,Ensure Calendar Notifications when the Device is Locked is set to Disabled,"Many mobile devices display notifications on the lock screen so users can obtain relevant information in a timely manner without having to frequently unlock the phone to determine if there are new notifications. However, in many cases, these notifications can contain sensitive information. When they are available on the lock screen, an adversary can see them merely by being in close physical proximity to the device. Configuring the MOS to not send notifications to the lock screen mitigates this risk.",Manual, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowLockScreenTodayView</key>
<false/>
----

",AC-11(1),,,FMT_SMF_EXT.1.1 #18,"AIOS-16-007600
AIOS-16-707600",,,,,CCI-000060,medium,
CCE-93249-1,os_show_control_center_lock_screen_disable,Ensure Show Control Center in Lock screen is set to Disabled,"Control Center _MUST_ be disabled in the lock screen.
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowLockScreenControlCenter</key>
<false/>
----

",AC-11(1),,,,,2.2.1.14 (level 1 - End-User Owned Devices)3.2.1.31 (level 1 - Institutionally-Owned Devices),4.3,,,,,
CCE-93250-9,os_show_notification_center_lock_screen_disable,Ensure Show Notification Center in Lock screen is set to Disabled,"Notification Center _MUST_ be disabled in the lock screen.
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowLockScreenNotificationsView</key>
<false/>
----

",AC-11(1),,,FMT_SMF_EXT.1.1 #18,"AIOS-16-007500
AIOS-16-707500",2.2.1.15 (level 1 - End-User Owned Devices)3.2.1.32 (level 1 - Institutionally-Owned Devices),4.3,,,CCI-000060,medium,
CCE-93251-7,os_siri_when_locked_disabled,Ensure Allow Siri while device is locked is set to Disabled,"Accessing Siri while the device is locked _MUST_ be disabled.
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowAssistantWhileLocked</key>
<false/>
----

","AC-20
CM-7
CM-7(1)
SC-7(10)",,,FMT_SMF_EXT.1.1 #8b,AIOS-16-007200,2.2.1.2 (level 1 - End-User Owned Devices)3.2.1.3 (level 1 - Institutionally-Owned Devices),4.3,,,CCI-000366,medium,
CCE-93252-5,os_ssl_for_exchange_activesync_enable,Ensure SSL for Exchange ActiveSync,"Exchange email messages are a form of data in transit and thus are vulnerable to eavesdropping and man-in-the-middle attacks. Secure Sockets Layer (SSL), also referred to as Transport Layer Security (TLS), provides encryption and authentication services that mitigate the risk of breach.",Manual, ,,"Create a configuration profile containing the following keys in the (com.apple.eas.account) payload type:

[source,xml]
----
<key>ssl</key>
<true/>
----

",,,,FMT_SMF_EXT.1.1 #47,"AIOS-16-011300
AIOS-16-711300",,,,,CCI-000764,medium,
CCE-93253-3,os_supervised_mdm_require,Enforce Supervised Enrollment in Mobile Device Management,iOS/iPadOS _MUST_ be supervised by a Mobile Device Management (MDM) software.,Manual,,,Enroll the iOS/iPadOS device in a supervised MDM.,"CM-2
CM-6",,,FMT_SMF_EXT.1.1 #47,AIOS-16-013200,,,,,"CCI-000366
CCI-000097
CCI-000370",medium,
CCE-93264-0,os_untrusted_tls_disable,Ensure Allow Users to Accept Untrusted TLS Certificates is set to Disabled,"Users _MUST_ not be allowed to accept self-signed or unverified certificates.
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowUntrustedTLSPrompt</key>
<false/>
----

",,,,,,2.2.1.6 (level 2 - End-User Owned Devices)3.2.1.13 (level 2 - Institutionally-Owned Devices),4.1,,,,,
CCE-93254-1,os_usb_accessories_when_locked_disable,Ensure Allow USB accessories while the device is locked is set to Disabled,"USB devices _MUST_ not be allowed to connect while the device is locked.
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowUSBRestrictedMode</key>
<false/>
----

","CM-8(3)
MP-7
SC-7(10)
SC-41",,,FMT_SMF_EXT.1.1 #47,AIOS-16-012200,3.2.1.19 (level 1 - Institutionally-Owned Devices),1.2,,,"CCI-000366
CCI-000097
CCI-000370",medium,
CCE-93255-8,os_voice_dialing_when_locked_disabled,Ensure Allow voice dialing while device is locked is set to Disabled,"Voice dialing while the device is locked _MUST_ be disabled.
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowVoiceDialing</key>
<false/>
----

","CM-7
CM-7(1)",,,FMT_SMF_EXT.1.1 #8b,AIOS-16-007300,2.2.1.1 (level 1 - End-User Owned Devices)3.2.1.2 (level 1 - Institutionally-Owned Devices),4.3,,,CCI-000366,medium,
CCE-93256-6,pwpolicy_account_lockout_enforce,Limit Consecutive Failed Login Attempts to 6,"The iOS _MUST_ be configured to limit the number of failed login attempts to a maximum of 6.

This rule protects against malicious users attempting to gain access to the system via brute-force hacking methods. 
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.mobiledevice.passwordpolicy) payload type:

[source,xml]
----
<key>maxFailedAttempts</key>
<integer>6</integer>
----

",AC-7,,,"FMT_SMF_EXT.1.1 #2c
FIA_AFL_EXT.1.5","AIOS-16-006900
AIOS-16-706900",2.4.6 (level 1 - End-User Owned Devices)3.4.6 (level 1 - Institutionally-Owned Devices),4.3,,,CCI-000044,medium,
CCE-93257-4,pwpolicy_force_pin_enable,Ensure Force Pin is set to Enabled,"Passwords provide a form of access control that prevents unauthorized individuals from accessing computing resources and sensitive data. Passwords may also be a source of entropy for generation of key encryption or data encryption keys. If a password is not required to access data, this data is accessible to any adversary who obtains physical possession of the device. Requiring that a password be successfully entered before the mobile device data is unencrypted mitigates this risk.

Note: MDF PP v2.0 requires a Password Authentication Factor and requires management of its length and complexity. It leaves open whether the existence of a password is subject to management. This requirement addresses the configuration to require a password, which is critical to the cybersecurity posture of the device.",Manual, ,,"Create a configuration profile containing the following keys in the (com.apple.mobiledevice.passwordpolicy) payload type:

[source,xml]
----
<key>forcePIN</key>
<true/>
----

",SC-28,,,FIA_UAU_EXT.1.1,"AIOS-16-010400
AIOS-16-710400",,,,,CCI-001199,high,
CCE-93258-2,pwpolicy_max_grace_period_enforce,Ensure Maximum grace period for device lock is set to 0 minutes,"The iOS grace period for device lock _MUST_ be configured to 0 minutes.
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.mobiledevice.passwordpolicy) payload type:

[source,xml]
----
<key>maxGracePeriod</key>
<integer>0</integer>
----

","AC-11
IA-11",,,FMT_SMF_EXT.1.1 #2a,"AIOS-16-006700
AIOS-16-706700",2.4.5 (level 1 - End-User Owned Devices)3.4.5 (level 1 - Institutionally-Owned Devices),4.3,,,CCI-000057,medium,
CCE-93259-0,pwpolicy_max_inactivity_enforce,Ensure Maximum Auto-Lock is set to 2 minutes or less,"The iOS _MUST_ be configured to auto-lock after 2 minutes.
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.mobiledevice.passwordpolicy) payload type:

[source,xml]
----
<key>maxInactivity</key>
<integer>2</integer>
----

","AC-11
IA-11",,,FMT_SMF_EXT.1.1 #2b,"AIOS-16-006800
AIOS-16-706800",2.4.4 (level 1 - End-User Owned Devices)3.4.4 (level 1 - Institutionally-Owned Devices),4.3,,,CCI-000057,medium,
CCE-93260-8,pwpolicy_minimum_length_enforce,Require a Minimum Passcode Length of 6 Characters,"The iOS _MUST_ be configured to require a minimum of 6 characters be used when a passcode is created.

This rule enforces passcode complexity by requiring users to set passcode that are less vulnerable to malicious users. 
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.mobiledevice.passwordpolicy) payload type:

[source,xml]
----
<key>minLength</key>
<integer>6</integer>
----

",IA-5(1),,,FMT_SMF_EXT.1.1 #1a,"AIOS-16-006500
AIOS-16-706500",2.4.3 (level 1 - End-User Owned Devices)3.4.3 (level 1 - Institutionally-Owned Devices),5.2,,,CCI-000205,medium,
CCE-93261-6,pwpolicy_simple_sequence_disable,"Prohibit Repeating, Ascending, and Descending Character Sequences","The iOS device _MUST_ be configured to prohibit the use of repeating, ascending, and descending character sequences when a passcode is created.

This rule enforces password complexity by requiring users to set passcodes that are less vulnerable to malicious users.
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.mobiledevice.passwordpolicy) payload type:

[source,xml]
----
<key>allowSimple</key>
<false/>
----

",IA-5(1),,,FMT_SMF_EXT.1.1 #1b,"AIOS-16-006600
AIOS-16-706600",2.4.1 (level 1 - End-User Owned Devices)3.4.1 (level 1 - Institutionally-Owned Devices),5.2,,,CCI-000366,medium,
