Unnamed: 0,Last modified: 2009-04-30,Unnamed: 2,f,Unnamed: 4,Unnamed: 5
CCE-6389-1,/etc/securetty file permissions should be set appropriately,permissions,via chmod,,10.8.10-3 C.1 1) #5
CCE-6698-5,/etc/audit/auditd.conf file permissions should be set appropriately,permissions,via chmod,,10.8.10-3 C.1 1) #6
CCE-6420-4,audit.rules file permissions should be set appropriately,permissions,via chmod,,10.8.10-3 C.1 1) #7
CCE-5953-5,"DEPRECATED in favor of CCE-8569-6, CCE-7990-5, and CCE-8624-9.",,,,
CCE-8569-6,/etc/auto.master file should be owned by an appropriate user,list of users,via chown,,10.8.10-3 C.1 1) #9
CCE-7990-5,/etc/auto.misc file should be owned by an appropriate user,list of users,via chown,,10.8.10-3 C.1 1) #9
CCE-8624-9,/etc/auto.net file should be owned by an appropriate user,list of users,via chown,,10.8.10-3 C.1 1) #9
CCE-6547-4,/etc/lilo.conf file should be owned by an appropriate user,list of users,via chown,,10.8.10-3 C.1 1) #2
CCE-5704-2,/etc/login.access file should be owned by an appropriate user,list of users,via chown,,10.8.10-3 C.1 1) #3
CCE-6525-0,/etc/security/access.conf file should be owned by an appropriate user,list of users,via chown,,10.8.10-3 C.1 1) #3
CCE-6115-0,/etc/sysctl.conf file should be owned by an appropriate user,list of users,via chown,,10.8.10-3 C.1 1) #4
CCE-6383-4,/etc/securetty file should be owned by an appropriate user,list of users,via chown,,10.8.10-3 C.1 1) #5
CCE-5716-6,/etc/audit/auditd.conf file should be owned by an appropriate user,list of users,via chown,,10.8.10-3 C.1 1) #6
CCE-6631-6,audit.rules file should be owned by an appropriate user,list of users,via chown,,10.8.10-3 C.1 1) #7
CCE-6596-1,"DEPRECATED in favor of CCE-8335-2, CCE-8498-8, and CCE-8383-2.",,,,
CCE-8335-2,/etc/auto.master file should be owned by an appropriate user,list of users,via chown,,10.8.10-3 C.1 1) #9
CCE-8498-8,/etc/auto.misc file should be owned by an appropriate user,list of users,via chown,,10.8.10-3 C.1 1) #9
CCE-8383-2,/etc/auto.net file should be owned by an appropriate user,list of users,via chown,,10.8.10-3 C.1 1) #9
CCE-6675-3,/etc/lilo.conf file should be owned by an appropriate group,list of groups,"via chgrp
via chown",,10.8.10-3 C.1 1) #2
CCE-6195-2,/etc/login.access file should be owned by an appropriate group,list of groups,"via chgrp
via chown",,10.8.10-3 C.1 1) #3
CCE-5900-6,/etc/security/access.conf file should be owned by an appropriate group,list of groups,"via chgrp
via chown",,10.8.10-3 C.1 1) #3
CCE-6304-0,/etc/sysctl.conf file should be owned by an appropriate group,list of groups,"via chgrp
via chown",,10.8.10-3 C.1 1) #4
CCE-5720-8,/etc/securetty file should be owned by an appropriate group,list of groups,"via chgrp
via chown",,10.8.10-3 C.1 1) #5
CCE-5726-5,/etc/audit/auditd.conf file should be owned by an appropriate group,list of groups,"via chgrp
via chown",,10.8.10-3 C.1 1) #6
CCE-6376-8,audit.rules file should be owned by an appropriate group,list of groups,"via chgrp
via chown",,10.8.10-3 C.1 1) #7
CCE-6222-4,"DEPRECATED in favor of CCE-8347-7 CCE-8526-6, and CCE-8369-1.",,,,
CCE-8347-7,/etc/auto.master file should be owned by an appropriate group,list of users,via chown,,10.8.10-3 C.1 1) #9
CCE-8526-6,/etc/auto.misc file should be owned by an appropriate group,list of users,via chown,,10.8.10-3 C.1 1) #9
CCE-8369-1,/etc/auto.net file should be owned by an appropriate group,list of users,via chown,,10.8.10-3 C.1 1) #9
CCE-6424-6,Access controls through login.access and access.conf should be set for non-superusers or not as appropriate,set/not set,"via /etc/login.access
via /etc/security/acccess.conf",,10.8.10-3 C.1.1 1)
CCE-6312-3,Global initialization files should allow or deny write access to the terminal as appropriate,allow/deny,via global init files,,10.8.10-3 C.2 1) #1
CCE-6528-4,Ctrl-Alt-Delete should be enabled or disabled as appropriate,enabled/disabled,via /etc/inittab,,10.8.10-3 C.3 1)
CCE-6691-0,An appropriate bootloader should be used,list of bootloaders,via bootloader,,10.8.10-3 C.3.2 2)
CCE-6519-3,GRUB should be configured with a password or not as appropriate, password/no  passwor,via /boot/grub/menu.lst,,10.8.10-3 C.3.2 3)
CCE-6594-6,LILO should be configured with a password or not as appropriate,password/no  password,,,10.8.10-3 C.3.2 4)
CCE-8118-2,System should be configured to boot and appropriate set of operating systems,list of operating systems,via /boot/grub/menu.lst,,10.8.10-3 C.3.2 5)
CCE-5972-5,The primary filesystem partition should be using an appropriate filesystem,list of filesystems,via /etc/fstab,,10.8.10-3 C.4 1)
CCE-6364-4,The ugidd daemon should be enabled or disabled as appropriate,enabled/disabled,via rpc.ugidd,,10.8.10-3 C.4.1 1)
CCE-5813-1,NFS insecure locks should be enabled or disabled as appropriate,enabled/disabled,via /etc/exports,,10.8.10-3 C.4.1 3)
CCE-5752-1,X server audit level should be set appropriately,audit level,via ,,10.8.10-3 C.5.1 1)
CCE-5753-9,X server timeout should be set appropriately,number of minutes,via RC 5 scripts,,10.8.10-3 C.5.1 1)
CCE-6297-6,X server ac should be enabled or disabled as appropriate,enabled/disabled,via RC 5 scripts,,10.8.10-3 C.5.1 2)
CCE-6671-2,X server core should be enabled or disabled as appropriate,enabled/disabled,via RC 5 scripts,,10.8.10-3 C.5.1 2)
CCE-6538-3,X server nolock should be enabled or disabled as appropriate,enabled/disabled,via RC 5 scripts,,10.8.10-3 C.5.1 2)
CCE-6486-5,PAM console should be enabled or disabled as appropriate,enabled/disabled,via PAM,,10.8.10-3 C.5.2 1)
CCE-6644-9,shutdown account should be present or not as appropriate,present/absent,via /etc/passwd,,10.8.10-3 C.6 1)
CCE-6706-6,halt account should be present or not as appropriate,present/absent,via /etc/passwd,,10.8.10-3 C.6 1)
CCE-6617-5,games account should be present or not as appropriate,present/absent,via /etc/passwd,,10.8.10-3 C.6 2)
CCE-5758-8,operator account should be present or not as appropriate,present/absent,via /etc/passwd,,10.8.10-3 C.6 2)
CCE-6041-8,Auditing should be enabled or disabled at boot time as appropriate,enabled/disabled,via init files,,10.8.10-3 C.7 1)
CCE-6715-7,System logons should be audited or not as appropriate,audited/not audited,via syslog,,10.8.10-3 C.7 2) #1
CCE-6666-2,System logoffs should be audited or not as appropriate,audited/not audited,via syslog,,10.8.10-3 C.7 2) #2
CCE-6530-0,Password changes should be audited or not as appropriate,audited/not audited,via syslog,,10.8.10-3 C.7 2) #3
CCE-5772-9,su usage should be audited or not as appropriate,audited/not audited,via syslog,,10.8.10-3 C.7 2) #4
CCE-6759-5,Creation of superuser groups should be audited or not as appropriate,audited/not audited,via syslog,,10.8.10-3 C.7 2) #5
CCE-5778-6,Clearing of the audit log file should be audited or not as appropriate,audited/not audited,,,10.8.10-3 C.7 2) #8
CCE-6628-2,Startup/shutdown of audit functions should be audited or not as appropriate,audited/not audited,via syslog,,10.8.10-3 C.7 2) #9
CCE-6470-9,Use of identification/authorization mechanisms should be audited or not as appropriate,audited/not audited,via syslog,,10.8.10-3 C.7 2) #10
CCE-6597-9,Remote access from outside the corporate network should be audited or not as appropriate,audited/not audited,via syslog,,10.8.10-3 C.7 2) #11
CCE-6566-4,Change of permissions/privileges should be audited or not as appropriate,audited/not audited,via syslog,,10.8.10-3 C.7 2) #13
CCE-6727-2,Modification of superuser groups should be audited or not as appropriate,audited/not audited,via syslog,,10.8.10-3 C.7 2) #5
CCE-6692-8,Sudo usage should be audited or not as appropriate,audited/not audited,via syslog,,10.8.10-3 C.7 2) #4
CCE-6124-2,Hard core dump size limits should be set appropriately,Size (0 to disable core dumps),/etc/security/limits ulimit,,10.8.10.4.4 (3)
