CCE,Rule ID,Title,Discussion,Mechanism,Check,Check Result,Fix,800-53r5,800-171,SRG,DISA STIG,CCI
CCE-91103-2,os_erase_content_and_settings_disable,Disable Erase Content and Settings,Erase Content and Settings _MUST_ be disabled.,Configuration Profile,"/usr/bin/osascript -l JavaScript << EOS
$.NSUserDefaults.alloc.initWithSuiteName('com.apple.applicationaccess')\
.objectForKey('allowEraseContentAndSettings').js
EOS
",{'string': 'false'},"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowEraseContentAndSettings</key>
<false/>
----

","CM-7
CM-7(1)",,SRG-OS-000095-GPOS-00049,APPL-12-005061,CCI-000381
CCE-90930-9,os_ess_installed,Must Use ESS,"The approved ESS solution _MUST_ be installed and configured to run. 

The macOS system must employ automated mechanisms to determine the state of system components. The DoD requires the installation and use of an approved ESS solution to be implemented on the operating system. For additional information, reference all applicable ESS OPORDs and FRAGOs on SIPRNET.
",Manual,"Ask the System Administrator (SA) or Information System Security Officer (ISSO) if the approved ESS solution is loaded on the system. 
If the installed components of the ESS solution are not at the DoD approved minimal versions, this is a finding.
",,"Install the approved ESS solution onto the system.
",,,SRG-OS-000191-GPOS-00080,APPL-12-000015,CCI-001233
CCE-90919-2,os_facetime_app_disable,Disable FaceTime.app,"The macOS built-in FaceTime.app _MUST_ be disabled. 

The FaceTime.app establishes a connection to Apple's iCloud service, even when security controls have been put in place to disable iCloud access. 
",Configuration Profile,"/usr/bin/osascript -l JavaScript << EOS
function run() {
  let pref1 = ObjC.unwrap($.NSUserDefaults.alloc.initWithSuiteName('com.apple.applicationaccess.new')\
  .objectForKey('familyControlsEnabled'))
  let pathlist = $.NSUserDefaults.alloc.initWithSuiteName('com.apple.applicationaccess.new')\
  .objectForKey('pathBlackList').js
  for ( let app in pathlist ) {
      if ( ObjC.unwrap(pathlist[app]) == ""/Applications/FaceTime.app"" && pref1 == true ){
          return(""true"")
      }
  }
  return(""false"")
  }
EOS
",{'string': 'true'},"Create a configuration profile containing the following keys in the (com.apple.applicationaccess.new) payload type:

[source,xml]
----
<key>familyControlsEnabled</key>
<true/>
<key>pathBlackList</key>
<array>
    <string>/Applications/FaceTime.app</string>
</array>
----

","AC-20
CM-7
CM-7(1)","3.1.20
3.4.6",,,"CCI-000381
CCI-001774"
CCE-90921-8,os_filevault_authorized_users,FileVault Authorized Users,"macOS _MUST_ be configured to only allow authorized users to unlock FileVault upon startup.
",Script,"/usr/bin/fdesetup list | /usr/bin/awk -F',' '{print $1}'
",{'string': 'a list containing authorized users that can unlock FileVault'},"Remove the user that is not authorized to unlock FileVault using the fdesetup command.

[source,bash]
----
/usr/bin/fdesetup remove -user NOT_AUTHORIZED_USERNAME
----
",AC-2(11),,SRG-OS-000480-GPOS-00227,APPL-12-000032,CCI-002143
CCE-90922-6,os_filevault_autologin_disable,Disable FileVault Automatic Login,"If FileVault is enabled, automatic login _MUST_ be disabled, so that both FileVault and login window authentication are required.

The default behavior of macOS when FileVault is enabled is to automatically log in to the computer once successfully passing your FileVault credentials. 

NOTE: DisableFDEAutoLogin does not have to be set on Apple Silicon based macOS systems that are smartcard enforced as smartcards are available at pre-boot.
",Configuration Profile,"/usr/bin/osascript -l JavaScript << EOS
$.NSUserDefaults.alloc.initWithSuiteName('com.apple.loginwindow')\
.objectForKey('DisableFDEAutoLogin').js
EOS
",{'string': 'true'},"Create a configuration profile containing the following keys in the (com.apple.loginwindow) payload type:

[source,xml]
----
<key>DisableFDEAutoLogin</key>
<true/>
----

","AC-3
IA-5(13)
AC-2(11)","3.1.1
3.1.2",SRG-OS-000480-GPOS-00227,APPL-12-000033,
CCE-90923-4,os_firewall_default_deny_require,Control Connections to Other Systems via a Deny-All and Allow-by-Exception Firewall Policy,"A deny-all and allow-by-exception firewall policy _MUST_ be employed for managing connections to other systems. 

Organizations _MUST_ ensure the built-in packet filter firewall is configured correctly to employ the default deny rule.

Failure to restrict network connectivity to authorized systems permits inbound connections from malicious systems. It also permits outbound connections that may facilitate the exfiltration of data.

If you are using a third-party firewall solution, this setting does not apply. 

[IMPORTANT]
====
Configuring the built-in packet filter firewall to employ the default deny rule has the potential to interfere with applications on the system in an unpredictable manner. Information System Security Officers (ISSOs) may make the risk-based decision not to configure the built-in packet filter firewall to employ the default deny rule to avoid losing functionality, but they are advised to first fully weigh the potential risks posed to their organization.
====
",Manual,"/sbin/pfctl -a '*' -sr &> /dev/null | /usr/bin/grep -c ""block drop in all""
",{'integer': 1},"NOTE: See the firewall supplemental which includes a script that has an example policy to implement this rule.
","AC-4
SC-7(5)","3.1.3
3.13.6",,,"CCI-000366
CCI-002080"
CCE-90924-2,os_firewall_log_enable,Enable Firewall Logging,"Firewall logging _MUST_ be enabled. 

Firewall logging ensures that malicious network activity will be logged to the system. 

NOTE: The firewall data is logged to Apple's Unified Logging with the subsystem `com.apple.alf` and the data is marked as private. In order to enable private data, review the `com.apple.alf.private_data.mobileconfig` file in the project's `includes` folder. 
",Configuration Profile,"/usr/bin/osascript -l JavaScript << EOS
function run() {
  let pref1 = $.NSUserDefaults.alloc.initWithSuiteName('com.apple.security.firewall')\
  .objectForKey('EnableLogging').js
  let pref2 = $.NSUserDefaults.alloc.initWithSuiteName('com.apple.security.firewall')\
  .objectForKey('LoggingOption').js
  if ( pref1 == true && pref2 == ""detail"" ){
    return(""true"")
  } else {
    return(""false"")
  }
}
EOS
",{'string': 'true'},"Create a configuration profile containing the following keys in the (com.apple.security.firewall) payload type:

[source,xml]
----
<key>EnableLogging</key>
<true/>
<key>LoggingOption</key>
<string>detail</string>
----

","AU-12
SC-7","3.3.1
3.3.2
3.13.1
3.13.2
3.13.5",,,
CCE-90925-9,os_firmware_password_require,Enable Firmware Password,"A firmware password _MUST_ be enabled and set. 

Single user mode, recovery mode, the Startup Manager, and several other tools are available on macOS by holding the ""Option"" key down during startup. Setting a firmware password restricts access to these tools.

To set a firmware passcode use the following command:

[source,bash]
----
/usr/sbin/firmwarepasswd -setpasswd
----

NOTE: If firmware password or passcode is forgotten, the only way to reset the forgotten password is through the use of a machine specific binary generated and provided by Apple. Schedule a support call, and provide proof of purchase before the firmware binary will be generated.

NOTE: Firmware passwords are not supported on Apple Silicon devices. This rule is only applicable to Intel devices.
",Manual,"/usr/sbin/firmwarepasswd -check | /usr/bin/grep -c ""Password Enabled: Yes""
",{'integer': 1},"NOTE: See discussion on remediation and how to enable firmware password.
",AC-6,3.1.5,SRG-OS-000480-GPOS-00227,APPL-12-003013,CCI-000366
CCE-90926-7,os_gatekeeper_enable,Enable Gatekeeper,"Gatekeeper _MUST_ be enabled. 

Gatekeeper is a security feature that ensures that applications are digitally signed by an Apple-issued certificate before they are permitted to run. Digital signatures allow the macOS host to verify that the application has not been modified by a malicious third party.

Administrator users will still have the option to override these settings on a case-by-case basis.
",Script,"/usr/sbin/spctl --status | /usr/bin/grep -c ""assessments enabled""
",{'integer': 1},"Create a configuration profile containing the following keys in the (com.apple.systempolicy.control) payload type:

[source,xml]
----
<key>EnableAssessment</key>
<true/>
----

","CM-14
CM-5
SI-7(1)
SI-7(15)
SI-3",3.4.5,SRG-OS-000366-GPOS-00153,APPL-12-002064,CCI-001749
CCE-90927-5,os_gatekeeper_rearm,Enforce Gatekeeper 30 Day Automatic Rearm,"Gatekeeper _MUST_ be configured to automatically rearm after 30 days if disabled.
",Configuration Profile,"/usr/bin/osascript -l JavaScript << EOS
$.NSUserDefaults.alloc.initWithSuiteName('com.apple.security')\
.objectForKey('GKAutoRearm').js
EOS
",{'string': 'true'},"NOTE: The following settings are in the (com.apple.ManagedClient.preferences) payload. This payload requires the additional settings to be sub-payloads within, containing their their defined payload types.

Create a configuration profile containing the following keys in the (com.apple.security) payload type:

[source,xml]
----
<key>GKAutoRearm</key>
<true/>
----

",CM-5,3.4.5,,,
CCE-91104-0,os_guest_folder_removed,Remove Guest Folder if Present,"The guest folder _MUST_ be deleted if present.
",Script,"/bin/ls /Users/ | /usr/bin/grep -c ""Guest""
",{'integer': 0},"[source,bash]
----
/bin/rm -Rf /Users/Guest
----
",,,,,
CCE-90929-1,os_handoff_disable,Disable Handoff,"Handoff _MUST_ be disabled. 

Handoff allows you to continue working on a document or project when the user switches from one Apple device to another. Disabling Handoff prevents data transfers to unauthorized devices.
",Configuration Profile,"/usr/bin/osascript -l JavaScript << EOS
$.NSUserDefaults.alloc.initWithSuiteName('com.apple.applicationaccess')\
.objectForKey('allowActivityContinuation').js
EOS
",{'string': 'false'},"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowActivityContinuation</key>
<false/>
----

","AC-3
AC-20
CM-7
CM-7(1)","3.1.1
3.1.2
3.1.20
3.4.6",SRG-OS-000095-GPOS-00049,APPL-12-005058,CCI-000381
CCE-91105-7,os_hibernate_mode_destroyfvkeyonstandby_enable,Enable DestroyFVKeyOnStandby on Hibernate,"DestroyFVKeyOnStandby on hibernate _MUST_ be enabled. 
",Configuration Profile,"/usr/bin/osascript -l JavaScript << EOS
$.NSUserDefaults.alloc.initWithSuiteName('com.apple.MCX')\
.objectForKey('DestroyFVKeyOnStandby').js
EOS
",{'string': 'true'},"Create a configuration profile containing the following keys in the (com.apple.MCX) payload type:

[source,xml]
----
<key>DestroyFVKeyOnStandby</key>
<true/>
----

",,,,,
CCE-91106-5,os_hibernate_mode_enable,Enable Hibernate Mode,"Hibernate mode _MUST_ be enabled. 

NOTE: Hibernate mode is not fully supported on Apple Silicon devices. This rule is only applicable to Intel devices.
",Script,"error_count=0
hibernateStandbyLowValue=$(/usr/bin/pmset -g | /usr/bin/grep standbydelaylow 2>&1 | /usr/bin/awk '{print $2}')
hibernateStandbyHighValue=$(/usr/bin/pmset -g | /usr/bin/grep standbydelayhigh 2>&1 | /usr/bin/awk '{print $2}')
hibernateStandbyThreshValue=$(/usr/bin/pmset -g | /usr/bin/grep highstandbythreshold 2>&1 | /usr/bin/awk '{print $2}')
hibernateMode=$(/usr/bin/pmset -b -g | /usr/bin/grep hibernatemode 2>&1 | /usr/bin/awk '{print $2}')
macType=$(/usr/sbin/system_profiler SPHardwareDataType 2>&1 | /usr/bin/grep -c MacBook)
if [[ ""$macType"" -ge 0 ]]; then
  if [[ ""$hibernateStandbyLowValue"" == """" ]] || [[ ""$hibernateStandbyLowValue"" -gt 600 ]]; then
    ((error_count++))
  fi
  if [[ ""$hibernateStandbyHighValue"" == """" ]] || [[ ""$hibernateStandbyHighValue"" -gt 600 ]]; then
    ((error_count++))
  fi
  if [[ ""$hibernateStandbyThreshValue"" == """" ]] || [[ ""$hibernateStandbyThreshValue"" -lt 90 ]]; then
    ((error_count++))
  fi
fi
echo ""$error_count""
",{'integer': 0},"[source,bash]
----
/usr/bin/pmset -a standbydelayhigh 600
/usr/bin/pmset -a standbydelaylow 600
/usr/bin/pmset -a highstandbythreshold 90
----
",,,,,
CCE-90931-7,os_home_folders_secure,Secure User's Home Folders,"The system _MUST_ be configured to prevent access to other user's home folders.

The default behavior of macOS is to allow all valid users access to the the top level of every other user's home folder while restricting access only to the Apple default folders within. 
",Script,"/usr/bin/find /System/Volumes/Data/Users -mindepth 1 -maxdepth 1 -type d -perm -1 | /usr/bin/grep -v ""Shared"" | /usr/bin/grep -v ""Guest"" | /usr/bin/wc -l | /usr/bin/xargs
",{'integer': 0},"[source,bash]
----
IFS=$'\n'
for userDirs in $( /usr/bin/find /System/Volumes/Data/Users -mindepth 1 -maxdepth 1 -type d -perm -1 \| /usr/bin/grep -v ""Shared"" \| /usr/bin/grep -v ""Guest"" ); do
  /bin/chmod og-rwx ""$userDirs""
done
unset IFS
----
",AC-6,3.1.5,"SRG-OS-000480-GPOS-00228
SRG-OS-000480-GPOS-00230",APPL-12-002068,CCI-000366
CCE-90932-5,os_httpd_disable,Disable the Built-in Web Server,"The built-in web server is a non-essential service built into macOS and _MUST_ be disabled.

NOTE: The built in web server service is disabled at startup by default macOS.
",Script,"/bin/launchctl print-disabled system | /usr/bin/grep -c '""org.apache.httpd"" => true'
",{'integer': 1},"[source,bash]
----
/bin/launchctl disable system/org.apache.httpd
----
","AC-3
AC-17","3.1.1
3.1.2",SRG-OS-000095-GPOS-00049,APPL-12-002008,CCI-000381
CCE-90933-3,os_icloud_storage_prompt_disable,Disable iCloud Storage Setup during Setup Assistant,"The prompt to set up iCloud storage services during Setup Assistant _MUST_ be disabled.

The default behavior of macOS is to prompt new users to set up storage in iCloud. Disabling the iCloud storage setup prompt provides organizations more control over the storage of their data. 
",Configuration Profile,"/usr/bin/osascript -l JavaScript << EOS
$.NSUserDefaults.alloc.initWithSuiteName('com.apple.SetupAssistant.managed')\
.objectForKey('SkipiCloudStorageSetup').js
EOS
",{'string': 'true'},"Create a configuration profile containing the following keys in the (com.apple.SetupAssistant.managed) payload type:

[source,xml]
----
<key>SkipiCloudStorageSetup</key>
<true/>
----

",AC-20,3.1.20,SRG-OS-000095-GPOS-00049,APPL-12-002037,CCI-000381
CCE-91107-3,os_install_log_retention_configure,Configure Install.log Retention to 365 Days or More,"The install.log _MUST_ be configured to require records be kept for 365 days or longer before deletion, unless the system uses a central audit record storage facility. 
",Script,"/usr/sbin/aslmanager -dd 2>&1 | /usr/bin/awk '/\/var\/log\/install.log/ {count++} /Processing module com.apple.install/,/Finished/ { for (i=1;i<=NR;i++) { if ($i == ""TTL"" && $(i+2) >= 365) { ttl=""True"" }; if ($i == ""MAX"") {max=""True""}}} END{if (count > 1) { print ""Multiple config files for /var/log/install, manually remove""} else if (ttl != ""True"") { print ""TTL not configured"" } else if (max == ""True"") { print ""Max Size is configured, must be removed"" } else { print ""Yes"" }}'
",{'string': 'Yes'},"[source,bash]
----
/usr/bin/sed -i '' ""s/\* file \/var\/log\/install.log.*/\* file \/var\/log\/install.log format='\$\(\(Time\)\(JZ\)\) \$Host \$\(Sender\)\[\$\(PID\\)\]: \$Message' rotate=utc compress file_max=50M size_only ttl=365/g"" /etc/asl/com.apple.install
----  

NOTE: If there are multiple configuration files in /etc/asl that are set to process the file /var/log/install.log, these files will have to be manually removed.
","AU-11
AU-4",,,,
CCE-90939-0,os_ir_support_disable,Disable Infrared (IR) support,"Infrared (IR) support _MUST_ be disabled to prevent users from controlling the system with IR devices. 

By default, if IR is enabled, the system will accept IR control from any remote device. 

NOTE: This is applicable only to models of Mac Mini systems earlier than Mac Mini8,1.
",Configuration Profile,"/usr/bin/osascript -l JavaScript << EOS
$.NSUserDefaults.alloc.initWithSuiteName('com.apple.driver.AppleIRController')\
.objectForKey('DeviceEnabled').js
EOS
",{'string': 'false'},"NOTE: The following settings are in the (com.apple.ManagedClient.preferences) payload. This payload requires the additional settings to be sub-payloads within, containing their their defined payload types.

Create a configuration profile containing the following keys in the (com.apple.driver.AppleIRController) payload type:

[source,xml]
----
<key>DeviceEnabled</key>
<false/>
----

","AC-18
CM-7
CM-7(1)","3.1.16
3.4.6",,AOSX-13-000075,CCI-000366
CCE-91108-1,os_library_validation_enabled,Enable Library Validation,Library validation  _MUST_ be enabled.,Configuration Profile,"/usr/bin/osascript -l JavaScript << EOS
$.NSUserDefaults.alloc.initWithSuiteName('com.apple.security.libraryvalidation')\
.objectForKey('DisableLibraryValidation').js
EOS
",{'string': 'false'},"Create a configuration profile containing the following keys in the (com.apple.security.libraryvalidation) payload type:

[source,xml]
----
<key>DisableLibraryValidation</key>
<false/>
----

",,,,,
CCE-90946-5,os_mail_app_disable,Disable Mail App,"The macOS built-in Mail.app _MUST_ be disabled. 

The Mail.app contains functionality that can establish connections to Apple's iCloud, even when security controls to disable iCloud access have been put in place.

[IMPORTANT]
====
Some organizations allow the use of the built-in Mail.app for organizational communication. Information System Security Officers (ISSOs) may make the risk-based decision not to disable the macOS built-in Mail.app to avoid losing this functionality, but they are advised to first fully weigh the potential risks posed to their organization.
====
",Configuration Profile,"/usr/bin/osascript -l JavaScript << EOS
function run() {
  let pref1 = ObjC.unwrap($.NSUserDefaults.alloc.initWithSuiteName('com.apple.applicationaccess.new')\
  .objectForKey('familyControlsEnabled'))
  let pathlist = $.NSUserDefaults.alloc.initWithSuiteName('com.apple.applicationaccess.new')\
  .objectForKey('pathBlackList').js
  for ( let app in pathlist ) {
      if ( ObjC.unwrap(pathlist[app]) == ""/Applications/Mail.app"" && pref1 == true ){
          return(""true"")
      }
  }
  return(""false"")
  }
EOS
",{'string': 'true'},"Create a configuration profile containing the following keys in the (com.apple.applicationaccess.new) payload type:

[source,xml]
----
<key>familyControlsEnabled</key>
<true/>
<key>pathBlackList</key>
<array>
    <string>/Applications/Mail.app</string>
</array>
----

","AC-20
CM-7
CM-7(1)","3.1.20
3.4.6",,,CCI-000381
CCE-90950-7,os_mdm_require,Enforce Enrollment in Mobile Device Management,"You _MUST_ enroll your Mac in a Mobile Device Management (MDM) software.

User Approved MDM (UAMDM) enrollment or enrollment via Apple Business Manager (ABM)/Apple School Manager (ASM) is required to manage certain security settings. Currently these include:

* Allowed Kernel Extensions
* Allowed Approved System Extensions
* Privacy Preferences Policy Control Payload
* ExtensibleSingleSignOn
* FDEFileVault

In macOS 11, UAMDM grants Supervised status on a Mac, unlocking the following MDM features, which were previously locked behind ABM:

* Activation Lock Bypass
* Access to Bootstrap Tokens
* Scheduling Software Updates
* Query list and delete local users
",Manual,"/usr/bin/profiles status -type enrollment | /usr/bin/awk -F: '/MDM enrollment/ {print $2}' | /usr/bin/grep -c ""Yes (User Approved)""
",{'integer': 1},"Ensure that system is enrolled via UAMDM.
","CM-2
CM-6","3.4.1
3.4.2",,,
CCE-90951-5,os_messages_app_disable,Disable Messages App,"The macOS built-in Messages.app _MUST_ be disabled. 

The Messages.app establishes a connection to Apple's iCloud service, even when security controls to disable iCloud access have been put in place. 
",Configuration Profile,"/usr/bin/osascript -l JavaScript << EOS
function run() {
  let pref1 = ObjC.unwrap($.NSUserDefaults.alloc.initWithSuiteName('com.apple.applicationaccess.new')\
  .objectForKey('familyControlsEnabled'))
  let pathlist = $.NSUserDefaults.alloc.initWithSuiteName('com.apple.applicationaccess.new')\
  .objectForKey('pathBlackList').js
  for ( let app in pathlist ) {
      if ( ObjC.unwrap(pathlist[app]) == ""/Applications/Messages.app"" && pref1 == true ){
          return(""true"")
      }
  }
  return(""false"")
  }
EOS
",{'string': 'true'},"Create a configuration profile containing the following keys in the (com.apple.applicationaccess.new) payload type:

[source,xml]
----
<key>familyControlsEnabled</key>
<true/>
<key>pathBlackList</key>
<array>
    <string>/Applications/Messages.app</string>
</array>
----

","AC-20
CM-7
CM-7(1)","3.1.20
3.4.6",,,"CCI-000381
CCI-001774"
CCE-91109-9,os_mobile_file_integrity_enable,Enable Apple Mobile File Integrity,Mobile file integrity _MUST_ be ebabled.,Script,"/usr/sbin/nvram -p | /usr/bin/grep -c ""amfi_get_out_of_my_way=1""
",{'integer': 0},"[source,bash]
----
/usr/sbin/nvram boot-args=""""
----
",,,,,
CCE-90954-9,os_newsyslog_files_owner_group_configure,Configure System Log Files Owned by Root and Group to Wheel,"The system log files _MUST_ be owned by root.

System logs contain sensitive data about the system and users. If log files are set to only be readable and writable by system administrators, the risk is mitigated.
",Script,"/usr/bin/stat -f '%Su:%Sg:%N' $(/usr/bin/grep -v '^#' /etc/newsyslog.conf | /usr/bin/awk '{ print $1 }') 2> /dev/null | /usr/bin/awk '!/^root:wheel:/{print $1}' | /usr/bin/wc -l | /usr/bin/tr -d ' '
",{'integer': 0},"[source,bash]
----
/usr/sbin/chown root:wheel $(/usr/bin/stat -f '%Su:%Sg:%N' $(/usr/bin/grep -v '^#' /etc/newsyslog.conf \| /usr/bin/awk '{ print $1 }') 2> /dev/null \| /usr/bin/awk -F"":"" '!/^root:wheel:/{print $3}')
----  
",SI-11,,SRG-OS-000206-GPOS-00084,APPL-12-004001,CCI-001314
CCE-90955-6,os_newsyslog_files_permissions_configure,Configure System Log Files to Mode 640 or Less Permissive,"The system logs _MUST_ be configured to be writable by root and readable only by the root user and group wheel. To achieve this, system log files _MUST_ be configured to mode 640 permissive or less; thereby preventing normal users from reading, modifying or deleting audit logs. System logs frequently contain sensitive information that could be used by an attacker. Setting the correct permissions mitigates this risk.
",Script,"/usr/bin/stat -f '%A:%N' $(/usr/bin/grep -v '^#' /etc/newsyslog.conf | /usr/bin/awk '{ print $1 }') 2> /dev/null | /usr/bin/awk '!/640/{print $1}' | /usr/bin/wc -l | /usr/bin/tr -d ' '
",{'integer': 0},"[source,bash]
----
/bin/chmod 640 $(/usr/bin/stat -f '%A:%N' $(/usr/bin/grep -v '^#' /etc/newsyslog.conf \| /usr/bin/awk '{ print $1 }') 2> /dev/null \| /usr/bin/awk '!/640/{print $1}' \| awk -F"":"" '!/640/{print $2}')
----
",SI-11,,SRG-OS-000206-GPOS-00084,APPL-12-004002,CCI-001314
CCE-90956-4,os_nfsd_disable,Disable Network File System Service,"Support for Network File Systems (NFS) services is non-essential and, therefore, _MUST_ be disabled.
",Script,"/bin/launchctl print-disabled system | /usr/bin/grep -c '""com.apple.nfsd"" => true'
",{'integer': 1},"[source,bash]
----
/bin/launchctl disable system/com.apple.nfsd
----
The system may need to be restarted for the update to take effect.
","AC-3
AC-17","3.1.1
3.1.2",SRG-OS-000095-GPOS-00049,APPL-12-002003,CCI-000381
CCE-90966-3,os_parental_controls_enable,Enable Parental Controls,"Parental Controls _MUST_ be enabled. 

Control of program execution is a mechanism used to prevent program execution of unauthorized programs, which is critical to maintaining a secure system baseline.

Parental Controls on the macOS consist of many different payloads, which are set individually depending on the type of control required. Enabling parental controls allows for further configuration of these restrictions.
",Configuration Profile,"/usr/bin/osascript -l JavaScript << EOS
$.NSUserDefaults.alloc.initWithSuiteName('com.apple.applicationaccess.new')\
.objectForKey('familyControlsEnabled').js
EOS
",{'string': 'true'},"Create a configuration profile containing the following keys in the (com.apple.applicationaccess.new) payload type:

[source,xml]
----
<key>familyControlsEnabled</key>
<true/>
----

",CM-7(2),3.4.7,,,"CCI-001812
CCI-001764"
CCE-90967-1,os_password_autofill_disable,Disable Password Autofill,"Password Autofill _MUST_ be disabled. 

macOS allows users to save passwords and use the Password Autofill feature in Safari and compatible apps. To protect against malicious users gaining access to the system, this feature _MUST_ be disabled to prevent users from being prompted to save passwords in applications.
",Configuration Profile,"/usr/bin/osascript -l JavaScript << EOS
$.NSUserDefaults.alloc.initWithSuiteName('com.apple.applicationaccess')\
.objectForKey('allowPasswordAutoFill').js
EOS
",{'string': 'false'},"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowPasswordAutoFill</key>
<false/>
----

","IA-5(13)
CM-7
CM-7(1)
IA-11
IA-5","3.4.6
3.5.1
3.5.2",,,
CCE-91110-7,os_password_hint_remove,Remove Password Hint From User Accounts,"User accounts _MUST_ not contain password hints.
",Script,"/usr/bin/dscl . -list /Users hint | /usr/bin/awk '{print $2}' | /usr/bin/wc -l | /usr/bin/xargs
",{'integer': 0},"[source,bash]
----
for u in $(/usr/bin/dscl . -list /Users UniqueID \| /usr/bin/awk '$2 > 500 {print $1}'); do 
  /usr/bin/dscl . -delete /Users/$u hint
done
----
",IA-6,3.5.11,,,
CCE-90968-9,os_password_proximity_disable,Disable Proximity Based Password Sharing Requests,"Proximity based password sharing requests _MUST_ be disabled. 

The default behavior of macOS is to allow users to request passwords from other known devices (macOS and iOS). This feature _MUST_ be disabled to prevent passwords from being shared.
",Configuration Profile,"/usr/bin/osascript -l JavaScript << EOS
$.NSUserDefaults.alloc.initWithSuiteName('com.apple.applicationaccess')\
.objectForKey('allowPasswordProximityRequests').js
EOS
",{'string': 'false'},"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowPasswordProximityRequests</key>
<false/>
----

",IA-5,"3.5.1
3.5.2",SRG-OS-000095-GPOS-00049,APPL-12-005060,CCI-000381
CCE-90969-7,os_password_sharing_disable,Disable Password Sharing,"Password Sharing _MUST_ be disabled. 

The default behavior of macOS is to allow users to share a password over Airdrop between other macOS and iOS devices. This feature _MUST_ be disabled to prevent passwords from being shared.
",Configuration Profile,"/usr/bin/osascript -l JavaScript << EOS
$.NSUserDefaults.alloc.initWithSuiteName('com.apple.applicationaccess')\
.objectForKey('allowPasswordSharing').js
EOS
",{'string': 'false'},"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowPasswordSharing</key>
<false/>
----

",IA-5,"3.5.1
3.5.2",,,
CCE-90973-9,os_policy_banner_loginwindow_enforce,Display Policy Banner at Login Window,"Displaying a standardized and approved use notification before granting access to the operating system ensures that users are provided with privacy and security notification verbiage that is consistent with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance.

System use notifications are required only for access via login interfaces with human users and are not required when such human interfaces do not exist.

The policy banner will show if a ""PolicyBanner.rtf"" or ""PolicyBanner.rtfd"" exists in the ""/Library/Security"" folder.
NOTE: 
  The banner text of the document _MUST_ read:

  ""You are accessing a U.S. Government information system, which includes: 1) this computer, 2) this computer network, 3) all Government-furnished computers connected to this network, and 4) all Government-furnished devices and storage media attached to this network or to a computer on this network. You understand and consent to the following: you may access this information system for authorized use only; unauthorized use of the system is prohibited and subject to criminal and civil penalties; you have no reasonable expectation of privacy regarding any communication or data transiting or stored on this information system at any time and for any lawful Government purpose, the Government may monitor, intercept, audit, and search and seize any communication or data transiting or stored on this information system; and any communications or data transiting or stored on this information system may be disclosed or used for any lawful Government purpose. This information system may contain Controlled Unclassified Information (CUI) that is subject to safeguarding or dissemination controls in accordance with law, regulation, or Government-wide policy. Accessing and using this system indicates your understanding of this warning.""
",Script,"/bin/ls -ld /Library/Security/PolicyBanner.rtf* | /usr/bin/wc -l | /usr/bin/tr -d ' '
",{'integer': 1},"[source,bash]
----
bannerText=""You are accessing a U.S. Government information system, which includes: 1) this computer, 2) this computer network, 3) all Government-furnished computers connected to this network, and 4) all Government-furnished devices and storage media attached to this network or to a computer on this network. You understand and consent to the following: you may access this information system for authorized use only; unauthorized use of the system is prohibited and subject to criminal and civil penalties; you have no reasonable expectation of privacy regarding any communication or data transiting or stored on this information system at any time and for any lawful Government purpose, the Government may monitor, intercept, audit, and search and seize any communication or data transiting or stored on this information system; and any communications or data transiting or stored on this information system may be disclosed or used for any lawful Government purpose. This information system may contain Controlled Unclassified Information (CUI) that is subject to safeguarding or dissemination controls in accordance with law, regulation, or Government-wide policy. Accessing and using this system indicates your understanding of this warning.""
/bin/mkdir /Library/Security/PolicyBanner.rtf
/usr/bin/textutil -convert rtf -output /Library/Security/PolicyBanner.rtf/TXT.rtf -stdin <<EOF              
$bannerText
EOF
----
",AC-8,3.1.9,"SRG-OS-000023-GPOS-00006
SRG-OS-000024-GPOS-00007
SRG-OS-000228-GPOS-00088",APPL-12-000025,"CCI-000048
CCI-000050
CCI-001384
CCI-001385
CCI-001386
CCI-001387
CCI-001388"
